"TransactionID","Date","Time","Weekday","Quarter","StoreID","StoreName","Region","Prefecture","StoreType","CustomerID","Age","AgeGroup","Gender","MemberRank","LTV_Score","JobType","AnnualIncome_Est","MaritalStatus","ChildrenCount","ProductID","CategoryMain","CategorySub","Brand","ProductName","SKU","Color","Size","SupplierID","StockLevel","UnitCost","UnitPrice","Quantity","GrossSales","DiscountRate","DiscountAmount","NetSales","TaxAmount","Profit","ProfitMargin","PaymentMethod","PaymentStatus","Channel","DeviceType","OS","ShippingMethod","ShippingCost","DeliveryDate","ReviewScore","IsReturn"
"TRX-a83bfb7f","2023-11-25","20:33","Sun","Q4","ST-2","Shibuya","Kanto","Tokyo","Physical","CUST-43760","27","20s","Male","Regular","1.02","Office Worker","5610000","Single","1","PRD-4856","Food","Sub-Food","Brand-D","Food-Item","1E7DE887","White","S","SUP-495","35","393","777","6","4662","0","0","4662","466","2304","0.49","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-11-25","","0"
"TRX-36626cd1","2023-02-21","12:21","Wed","Q1","ST-0","Tokyo Main","Kanto","Tokyo","Physical","CUST-54080","18","10s","Male","Gold","1.63","Office Worker","5410000","Married","0","PRD-8396","Electronics","Sub-Electronics","Brand-A","Electronics-Item","FE21CA0F","Blue","M","SUP-662","60","24083","36582","1","36582","0.2","7316","29266","2926","5183","0.18","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-02-21","","0"
"TRX-29327a50","2023-09-07","18:10","Fri","Q3","ST-4","Nagoya Sakae","Kanto","Tokyo","Physical","CUST-78982","28","20s","Male","Regular","1.02","Office Worker","6730000","Married","2","PRD-4836","Home","Sub-Home","Brand-A","Home-Item","D5BCDEDD","Red","M","SUP-780","97","2323","3479","1","3479","0","0","3479","347","1156","0.33","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-09-07","","0"
"TRX-716d5b55","2023-05-15","09:12","Tue","Q2","ST-7","EC Online","Online","Tokyo","Virtual","CUST-47231","49","40s","Female","Regular","1.01","Housewife","8630000","Married","0","PRD-8196","Fashion","Sub-Fashion","Brand-D","Fashion-Item","9AACCAA6","White","L","SUP-203","21","7433","11763","1","11763","0","0","11763","1176","4330","0.37","QR","Completed","App","Mobile","iOS","Courier","500","2023-05-20","","0"
"TRX-177631f5","2023-04-09","17:03","Mon","Q2","ST-7","EC Online","Online","Tokyo","Virtual","CUST-90196","35","30s","Male","Regular","1.01","Housewife","5530000","Single","2","PRD-8571","Food","Sub-Food","Brand-A","Food-Item","3756B6D4","White","S","SUP-973","50","1054","1567","7","10969","0","0","10969","1096","3591","0.33","Cash","Completed","App","Mobile","iOS","Courier","500","2023-04-15","","0"
"TRX-7798bbc5","2023-03-07","11:29","Wed","Q1","ST-6","Sapporo","Kanto","Tokyo","Physical","CUST-56224","35","30s","Male","Regular","1.08","Office Worker","6300000","Single","1","PRD-8254","Fashion","Sub-Fashion","Brand-F","Fashion-Item","4C7B9E40","Red","S","SUP-550","0","62","100","1","100","0","0","100","10","38","0.38","QR","Completed","Store","POS","Embedded","Carry-out","0","2023-03-07","","0"
"TRX-02d14219","2023-03-08","09:49","Thu","Q1","ST-1","Shinjuku","Kanto","Tokyo","Physical","CUST-99684","18","10s","Male","Regular","1.40","Housewife","5330000","Single","2","PRD-3772","Fashion","Sub-Fashion","Brand-C","Fashion-Item","4E179A4A","Blue","L","SUP-234","36","6911","10783","1","10783","0","0","10783","1078","3872","0.36","QR","Completed","Store","POS","Embedded","Carry-out","0","2023-03-08","","0"
"TRX-53789689","2023-11-04","13:52","Sun","Q4","ST-7","EC Online","Online","Tokyo","Virtual","CUST-73506","40","40s","Male","Regular","1.05","Self-Employed","2690000","Married","3","PRD-2105","Home","Sub-Home","Brand-E","Home-Item","54ABB535","Black","M","SUP-204","14","523","886","4","3544","0","0","3544","354","1452","0.41","Credit","Completed","App","Mobile","iOS","Courier","500","2023-11-09","","0"
"TRX-7db15460","2023-06-14","11:42","Thu","Q2","ST-2","Shibuya","Kanto","Tokyo","Physical","CUST-18896","56","50s","Male","Regular","1.42","Other","5830000","Single","2","PRD-7067","Food","Sub-Food","Brand-C","Food-Item","586D74BD","Blue","M","SUP-987","17","965","2170","1","2170","0.1","217","1953","195","988","0.51","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-06-14","","0"
"TRX-a6e65f6c","2023-05-24","14:27","Thu","Q2","ST-3","Osaka Umeda","Kansai","Osaka","Physical","CUST-44402","58","50s","Male","Regular","1.45","Office Worker","7660000","Married","3","PRD-8010","Food","Sub-Food","Brand-E","Food-Item","E1EF83DB","Blue","S","SUP-239","76","613","960","1","960","0","0","960","96","347","0.36","Cash","Completed","Store","POS","Embedded","Carry-out","0","2023-05-24","","0"
"TRX-46758a81","2023-04-30","19:35","Mon","Q2","ST-7","EC Online","Online","Tokyo","Virtual","CUST-88536","34","30s","Female","Regular","1.15","Housewife","6250000","Married","0","PRD-5351","Food","Sub-Food","Brand-E","Food-Item","5751C450","White","M","SUP-200","28","54","100","1","100","0","0","100","10","46","0.46","Cash","Completed","App","Mobile","iOS","Courier","500","2023-05-07","","0"
